idRestaurants,Name,Address,City,State,Zip,DESCRIPTION,Location,Phone
1,"# 7 RESTAURANT","225 Grove","West Roxbury","MA","2132","Eating & Drinking w/ Take Out","(42.261873, -71.15741)","10000000000"
2,20TH CENTRY BOWLING LANES,1231 Hyde Park,Hyde Park,MA,2136,Eating & Drinking w/ Take Out,"(42.25682, -71.12411)",13392372645
3,21 ST. AMENDMENT,150 Bowdoin,Boston,MA,2108,Eating & Drinking,"(42.358336, -71.062581)",16172277100
4,224 BOSTON STREET,224 Boston,Dorchester,MA,2125,Eating & Drinking,"(42.322272, -71.060848)",16175136545
5,49 Social,49 Temple,Boston,MA,2111,Eating & Drinking,"(42.35493, -71.061809)",16173389600
6,5 Napkin Burger,101 Huntington,Boston/,MA,2199,Eating & Drinking,"(42.346865, -71.080632)",16173752277
7,7 Pond Coffee Bar,597 Centre,Jamaica Plain,MA,2130,Eating & Drinking w/ Take Out,"(42.3149, -71.11427)",10000000000
8,73 Cafe,73 Tremont,Boston,MA,2108,Eating & Drinking,"(42.35788, -71.06082)",16172234408
9,75 CHESTNUT,75 Chestnut,Boston,MA,2108,Eating & Drinking,"(42.356898, -71.070971)",16172272175
10,99 RESTAURANT AND PUB,29 Austin,Charlestown,MA,2129,Eating & Drinking,"(42.374884, -71.067065)",16152568500
11,A & N PIZZA,1409 Centre,Roslindale,MA,2131,Eating & Drinking w/ Take Out,"(42.29413, -71.13674)",16173232211
12,A @ Time,417 Cambridge,Allston,MA,2134,Eating & Drinking w/ Take Out,"(42.355123, -71.134062)",10000000000
13,A K's Take Out,305 D,South Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.339955, -71.049226)",16175923969
14,A K's Take Out & Delivery,1427 Tremont,Mission Hill,MA,2120,Eating & Drinking w/ Take Out,"(42.331858, -71.096333)",16175410300
15,Abbott's Frozen Custard,362 Washington,Brighton,MA,2135,Eating & Drinking w/ Take Out,"(42.348955, -71.153641)",15087350970
16,Abby Lane,253 Tremont,Boston,MA,2116,Eating & Drinking,"(42.35044, -71.06535)",17812548888
